,0
423,"#bbb21, #Kaboudoritos, #socorro, #tafoda, #doritos, #toloka, #FalandoDeBBB, #TeamGil, #Teamlucaspenteado, #ProBosta, #saudemental"
424,"#LucasPenteado, #saudemental, #saudeemocional, #TMJLucas"
425,"#BBB21, #saudemental, #RedeBBBB, #LucasPenteado, #BBB, #bbbrasil, #BBB2021, #Lucasmerecerespeito"
426,"#BomDia, #PenseNisso, #SaúdeMental, #Tranquilidade, #Paz, #Frases, #Pensamentos, #Reflexão, #FinalDeSemama"
427,"#BBB21, #saúdemental, #racismo, #xeNOfobia, #homofobia"
428,"#saudemental, #vida, #respeito, #empatia"
429,"#BBBB21, #BBBSemAlcool, #saudemental"
430,"#biologia, #saúdemental, #psiquiatria"
431,"#SaudeMental, #pandemia, #BBB21, #quarentena, #bbb"
432,"#confinamentoemfamilia, #saudemental"
433,"#saudemental, #KAROLKONKAEXPULSA"
434,"#SimpósiodeEnfermagem, #Simpósio, #Enfermagem, #FaculdadedeCeilândia, #Eneenf, #SaúdeMental, #Pandemia, #Psicologia, #Terapia, #Saúde, #Grátis"
435,"#SaúdeMental, #InteligênciaEmocional, #QualidadeDeVida, #Ansiedade, #Dicas"
