,date,tweet,hashtags
174,2021-02-28,"Passei raiva com o filme #EuMeImporto, porque ele é incrívelmente bom e da tristeza pela história. Rosamund Pike mereceu o #GoldenGlobesTNT  🤍","#EuMeImporto, #GoldenGlobesTNT"
175,2021-02-28,"VENCEDORA: Rosamund Pike - ""Eu Me Importo"" - Melhor Atriz em Comédia ou Musical no Globo de Ouro 2021 #GlobodeOuro2021 #EuMeImporto","#GlobodeOuro2021, #EuMeImporto"
176,2021-02-28,"O Globo de Ouro de Melhor Atriz em Filme de Comédia ou Musical vai para Rosamund Pike por 'Eu Me Importo'! O filme não foi tudo aquilo que a gente esperava, mas a Rosamund É DEMAIS!   #GoldenGlobes  #RosamundPike #Netflix #EuMeImporto #ICareALot #GlobodeOuro #Ultraverso","#GoldenGlobes, #RosamundPike, #Netflix, #EuMeImporto, #ICareALot, #GlobodeOuro, #Ultraverso"
177,2021-02-28,Filmaço nada cliche e trama boa 👌🏽 #ICareALotNetflix #EuMeImporto,"#ICareALotNetflix, #EuMeImporto"
178,2021-02-28,Chocada em Londres com #ICareALot  #EuMeImporto @thalusantos,"#ICareALot, #EuMeImporto"
179,2021-02-28,"nunca tinha sentido a sensação de quase vomitar por ver algo e não poder fazer nada. Mas, senti isso assistindo a serie #eumeimporto",#eumeimporto
181,2021-02-28,#eumeimporto tem o final justo que desejamos na vida 🙃,#eumeimporto
183,2021-02-28,"Quando vc ama alguém, e ela não tem condições de se cuidar, vc não auxilia a fazer oque ela quer, vc a auxilia a fazer oque ela precisa 😥 #eumeimporto",#eumeimporto
184,2021-02-28,Eu juro que amanhã recomeço a dieta e treino! #EuMeimporto,#EuMeimporto
185,2021-02-28,Aí que perca de tempo assistir esse filme #EuMeimporto,#EuMeimporto
186,2021-02-28,"Sobre o filme #EuMeimporto da Netflix : não assista. Começa interessante, mas depois é só ladeira abaixo...",#EuMeimporto
187,2021-02-28,"#EuMeimporto é um surto e pronto. Não vou mentir, esperava mais...",#EuMeimporto
188,2021-02-28,Seria muito doentio eu ter ficado triste pela morte da Marla ?? #EuMeimporto,#EuMeimporto
190,2021-02-28,"Uma coisa que o filme #EuMeImporto mw mostrou e que se eu quero ser uma velhinha forte a ponto de dar uma chave de braço em alguém, faça hidroginástica! Kkkkkk",#EuMeImporto
191,2021-02-28,assistam na Netflix #eumeimporto MEU DEUS DO CÉU,#eumeimporto
192,2021-02-28,O filme #EuMeimporto é uma bosta,#EuMeimporto
193,2021-02-28,PUTAAAA QUE PARIUUUU #EuMeimporto Q filme fodaaa,#EuMeimporto
194,2021-02-28,#EuMeimporto mano adorei o final..,#EuMeimporto
196,2021-02-28,"Marla teve o fim que merecia, @NetflixBrasil #EuMeimporto",#EuMeimporto
197,2021-02-28,"Sobre o filme #eumeimporto: sabe quando a pessoa come muita goiaba e o cocô fica preso na bunda só um pontinha pra fora? Pois é! O roteiro foi escrito assim, só com a pontinha da merda pra fora do cu, às cegas pq o olho do cu não enxerga. Sério mesmo, o roteirista desse filme+",#eumeimporto
198,2021-02-28,ALERTA SPOILER #EuMeimporto . . . . . . .  Filme bom... mas passei raiva do começo até o final. O mundo é dos espertos. Não tinha nem que ter construído o império. No final tomou um tiro e ponto. Não deixa de ser uma crítica ao sistema corrompido que vivemos hoje. #EuMeimporto,"#EuMeimporto, #EuMeimporto"
199,2021-02-28,"Não sei o que achar do final de ""Eu me importo"", mas poderia ter sido muito pior #EuMeimporto #Netflix","#EuMeimporto, #Netflix"
200,2021-02-28,4h44 e assistindo #EuMeimporto,#EuMeimporto
201,2021-02-28,"""Eu me importo"", é tão loko que a gente fica o filme todo tentando escolher um lado (sem sucesso), e o final é inimaginável!   #Netflix  #EuMeimporto","#Netflix, #EuMeimporto"
203,2021-02-28,"Nossa, #EuMeimporto é perfeito em tudo. História, elenco, figurino, final, tudo",#EuMeimporto
204,2021-02-28,AAAAAAAAA PQP MARLA EU TR AMO KKKKKKKK #EuMeimporto,#EuMeimporto
205,2021-02-28,Se aquela nojenta não morresse eu ia ter um ataque  #EuMeimporto,#EuMeimporto
