,date,tweet,hashtags
577,2019-10-08,#SessaodeTerapia deveria ter 80 episódios por temporada.,#SessaodeTerapia
578,2019-10-08,"#Seltonmello. Excepcional o seriado #Sessãodeterapia . Eu o acompanho desde nova e assisti com o ator que fez o Teo interpretando, mas este é sensacional. Parabéns","#Seltonmello, #Sessãodeterapia"
579,2019-10-07,Assistindo a terceira temporada de #sessaodeterapia e nao tô preparada pra ver isto sozinha.,#sessaodeterapia
580,2019-10-07,Selton Melo é muito bom! #SessaoDeTerapia,#SessaoDeTerapia
583,2019-10-07,prantooooos #sessãodeterapia,#sessãodeterapia
584,2019-10-07,"Amanhã a #Globo estreia a primeira temporada de #SegundaChamada (um drama sobre um grupo de alunos e professores que estudam/ trabalham de noite) e a segunda de #FilhosdaPátria. Acabou de passar uma chamada divulgando #SessãoDeTerapia e, pensando aqui, acho que exibir os dois ...","#Globo, #SegundaChamada, #FilhosdaPátria, #SessãoDeTerapia"
587,2019-10-07,"“eu só preciso que vc me desse merda, quer dizer boa sorte” “então eu te desejo muita merda, JOANA”  e eu que to chorando igual criança no final desse episódio. caralho!!!!! chiara vc quer o mundo? eu te dou, digo o mesmo pra ti fabiula nascimento.  #sessãodeterapia",#sessãodeterapia
592,2019-10-03,"Só tô vendo nosso bichinho hj na chamada da #sessaodeterapia, pq na novela, NADA DE NANA !  #BomSucesso","#sessaodeterapia, #BomSucesso"
594,2019-10-02,Minha paciente preferida de #SessãodeTerapia é a Haidée. Eu queria atender ela ❤,#SessãodeTerapia
596,2019-10-01,A última sessão de Guilhermina com Caio 😭😭 #sessaodeterapia,#sessaodeterapia
598,2019-09-29,Obrigada por tudo !  Obrigado por tanto ....  #SessaodeTerapia  @globoplay #SeltonMello,"#SessaodeTerapia, #SeltonMello"
601,2019-09-28,Eu não sei como Selton Mello não caía no choro nas sessões de dona Haidée 😭. Sério! Que personagem maravilhosa!  E que trabalho impecável da Atriz👏🏽👏🏽👏🏽👏🏽 #sessãodeterapia #globoplay,"#sessãodeterapia, #globoplay"
604,2019-09-26,Façam terapias! E assistam #sessãodeterapia no @globoplay ❤️,#sessãodeterapia
606,2019-09-26,"Ah, fala sério, nada ver a série tomar um rumo tão tradicional heteronormativo. Odiei ver a Sofia sucumbindo ao Caio. Isso só reforça machismo e a fragilidade da mulher q é capaz de deixar a ética da profissão de lado pra se pegar com um mal resolvido feito Caio. #SessaodeTerapia",#SessaodeTerapia
608,2019-09-24,@globoplay como faço pra marcar uma consulta com o Caio!?? 🤣Maravilha de série #sessaodeterapia #seltonmello,"#sessaodeterapia, #seltonmello"
